instruction,input,output
Describe difference between a crocodile and an alligator., <noinput>," Crocodiles and alligators are both reptiles belonging to the same order, but they have several differences. Crocodiles have a V-shaped snout and teeth that are visible when their mouth is closed whereas alligators have a U-shaped snout and only upper teeth visible from outside their mouth. Crocodiles tend to live in saltwater habitats while alligators prefer freshwater. Alligator populations are limited to USA and China while crocodile species can be found in different continents around the world."
"Generate a short story that includes the following three words: apple, guitar, and love.", <noinput>, Jacob was sitting under his favorite apple tree strumming his guitar when he saw her for the first time. It was love at first sight - he felt electricity coursing through him as she walked by with her long flowing hair trailing behind her like sunlight on water.
"Identify the main theme of the novel ""To Kill a Mockingbird"".", <noinput>," The main themes in To Kill a Mockingbird by Harper Lee include racial injustice and prejudice, social inequality and class boundaries, growing up and loss of innocence, moral education and personal integrity. The novel is set during the 1930s depression era when segregation between whites and blacks was rampant in America. It follows Scout Finch as she learns valuable lessons about these issues through her father Atticus' defense of Tom Robinson, an innocent black man falsely accused of rape."
"Edit the following sentence for clarity: ""After running around the park, a picnic seemed like a good idea.""", <noinput>, A picnic seemed like a good idea after running around the park.
Generate a list of the top 5 tourist attractions in Las Vegas., <noinput>, 
"Identify the author and publication date of the book ""1984"".", <noinput>, Author - George Orwell
Generate a recipe for spaghetti bolognese., <noinput>, Ingredients:
Describe the process of photosynthesis., <noinput>, 
Identify the capital city of each country in South America., <noinput>, 
"Edit the following sentence for tone: ""You obviously didn't read the instructions.""", <noinput>, It seems like there may have been some confusion with the instructions.
Generate a set of instructions on how to make a paper airplane., <noinput>, 
Compare and contrast Buddhism and Hinduism., <noinput>," Buddhism and Hinduism are two of the most prominent religions practiced in Asia, with a number of similarities as well as differences."
"Identify the elements in the periodic table with the symbols Na, Cl, and Fe.", <noinput>, Sodium - Na. Chlorine - Cl. Iron - Fe
"Generate a one-paragraph summary of the movie ""The Godfather"".", <noinput>," The Godfather is a widely acclaimed crime film directed by Francis Ford Coppola, released in 1972. Set during the early 1940s and late 1950s, it revolves around the Corleone family - a powerful Mafia dynasty based in New York City. The film follows patriarch Vito Corleone (Marlon Brando), head of the family as he builds his criminal empire with help from his sons Michael (Al Pacino) and Fredo (John Cazale). With themes that explore morality and loyalty, The Godfather tells a story of power struggles within organized crime while portraying an intimate look at familial relationships amongst these dangerous characters. At its heart, the film is about how people navigate between their personal desires and moral obligations while meeting expectations of tradition and heritage within society's confines of lawful behavior.."
"Edit the following sentence for punctuation: ""I like eating pizza but I'm not very good at making it so I usually order it instead.""", <noinput>," ""I like eating pizza, but I'm not very good at making it, so I usually order it instead."""
Identify the largest ocean in the world., <noinput>," The Pacific Ocean is the largest of all oceans, covering more than 30% of Earth's surface and containing more than half of its free water."
Describe the types of clouds found in the sky., <noinput>," Clouds are formed by condensation and can take on various shapes and sizes based on conditions in the atmosphere. There are three main types of clouds, each with their own subtypes:"
Generate a list of the top 5 fastest animals in the world., <noinput>, 
Describe the process of mitosis in cell division., <noinput>," Mitosis is a process of cell division that occurs in eukaryotic cells (cells with a nucleus) during which the parent cell divides into two daughter cells, each containing an exact copy of the genetic material. Mitosis consists of four main stages:"
Generate a list of the top 5 most spoken languages in the world., <noinput>, 
Explain the difference between weather and climate., <noinput>," Weather is the day-to-day state of the atmosphere, such as temperature, humidity, precipitation, wind speed/direction that can vary on a daily basis in any given location. It describes current atmospheric conditions for short periods of time ranging from minutes to weeks."
"Identify the author and publication date of the book ""To Kill A Mockingbird"".", <noinput>, Author - Harper Lee
"Generate a one-paragraph summary of the novel ""Animal Farm"".", <noinput>," Animal Farm is a political allegory written by George Orwell, published in 1945. Set on an English farm, the story initially follows the livestock as they overthrow their human owner and assume control over their own destiny under pigs' charismatic leadership . At first it appears to be successful ""animal socialism"" but as time goes on , power becomes exploitative leading to consequences like corruption,murder and overall oppression of other animals who aren't part of ruling class. The novel elucidates how absolute power corrupts absolutely, through observing how principles are deliberately silenced or violated for furtherance of personal interests. With belief in equality failing each time someone comes into power regardless whether individuals were at base humans or animals .. The novel serves as warning against potential dangers posed by unchecked authoritarianism which can resurface anytime in any society."
Identify the largest continent in the world., <noinput>," Asia is the largest continent both by landmass and population, encompassing over 44 million square kilometers of land and home to more than four billion people."
Describe the structure of an atom., <noinput>," Atoms are the basic building blocks of matter and consist of three main types of subatomic particles: protons, neutrons, and electrons. Protons and neutrons make up the nucleus or center of an atom while electrons revolve around it in specific energy levels called shells or orbits. Protons are positively charged particles found in the nucleus that determine the atomic number and identity of the element."
Generate a list of the top 5 tallest mountains in the world., <noinput>, 
Explain the difference between a cold and an allergy., <noinput>," While both common cold and allergies share some similar symptoms such as sneezing, stuffy or runny nose, and coughing they are caused by different factors."
"Describe the roles of producers, consumers, and decomposers in an ecosystem.", <noinput>," An ecosystem is a community of organisms interacting with each other and their environment. In this system, various organisms play different roles."
Describe the structure of the Earth., <noinput>," Earth is a terrestrial planet, and like any other celestial body, it has its own unique composition and structure."
Identify the capital city of Australia., <noinput>, The capital city of Australia is Canberra.
Describe the function of the liver in the human body., <noinput>, The liver is one of the largest organs in the human body and plays a vital role in various physiological processes.
